Generate posit configurations
"Generate Posit Lookup table for a POSIT<2,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
79,1001111,1110001,1,1,2,110---,0,01-,-5,7.1x4Fp
80,1010000,1110000,1,1,2,110---,0,00-,-4,7.1x50p
81,1010001,1101111,0,1,1,10----,1,111,-3.75,7.1x51p
82,1010010,1101110,0,1,1,10----,1,110,-3.5,7.1x52p
83,1010011,1101101,0,1,1,10----,1,101,-3.25,7.1x53p
84,1010100,1101100,0,1,1,10----,1,100,-3,7.1x54p
85,1010101,1101011,0,1,1,10----,1,011,-2.75,7.1x55p
86,1010110,1101010,0,1,1,10----,1,010,-2.5,7.1x56p
87,1010111,1101001,0,1,1,10----,1,001,-2.25,7.1x57p
88,1011000,1101000,0,1,1,10----,1,000,-2,7.1x58p
89,1011001,1100111,0,1,0,10----,0,111,-1.875,7.1x59p
90,1011010,1100110,0,1,0,10----,0,110,-1.75,7.1x5Ap
91,1011011,1100101,0,1,0,10----,0,101,-1.625,7.1x5Bp
92,1011100,1100100,0,1,0,10----,0,100,-1.5,7.1x5Cp
93,1011101,1100011,0,1,0,10----,0,011,-1.375,7.1x5Dp
94,1011110,1100010,0,1,0,10----,0,010,-1.25,7.1x5Ep
95,1011111,1100001,0,1,0,10----,0,001,-1.125,7.1x5Fp
96,1100000,1100000,0,1,0,10----,0,000,-1,7.1x60p
97,1100001,1011111,-1,1,-1,01----,1,111,-0.9375,7.1x61p
98,1100010,1011110,-1,1,-1,01----,1,110,-0.875,7.1x62p
99,1100011,1011101,-1,1,-1,01----,1,101,-0.8125,7.1x63p
100,1100100,1011100,-1,1,-1,01----,1,100,-0.75,7.1x64p
101,1100101,1011011,-1,1,-1,01----,1,011,-0.6875,7.1x65p
102,1100110,1011010,-1,1,-1,01----,1,010,-0.625,7.1x66p
103,1100111,1011001,-1,1,-1,01----,1,001,-0.5625,7.1x67p
104,1101000,1011000,-1,1,-1,01----,1,000,-0.5,7.1x68p
105,1101001,1010111,-1,1,-2,01----,0,111,-0.46875,7.1x69p
106,1101010,1010110,-1,1,-2,01----,0,110,-0.4375,7.1x6Ap
107,1101011,1010101,-1,1,-2,01----,0,101,-0.40625,7.1x6Bp
108,1101100,1010100,-1,1,-2,01----,0,100,-0.375,7.1x6Cp
109,1101101,1010011,-1,1,-2,01----,0,011,-0.34375,7.1x6Dp
110,1101110,1010010,-1,1,-2,01----,0,010,-0.3125,7.1x6Ep
111,1101111,1010001,-1,1,-2,01----,0,001,-0.28125,7.1x6Fp
112,1110000,1010000,-1,1,-2,01----,0,000,-0.25,7.1x70p
113,1110001,1001111,-2,1,-3,001---,1,11-,-0.21875,7.1x71p
114,1110010,1001110,-2,1,-3,001---,1,10-,-0.1875,7.1x72p
115,1110011,1001101,-2,1,-3,001---,1,01-,-0.15625,7.1x73p
116,1110100,1001100,-2,1,-3,001---,1,00-,-0.125,7.1x74p
117,1110101,1001011,-2,1,-4,001---,0,11-,-0.109375,7.1x75p
118,1110110,1001010,-2,1,-4,001---,0,10-,-0.09375,7.1x76p
119,1110111,1001001,-2,1,-4,001---,0,01-,-0.078125,7.1x77p
120,1111000,1001000,-2,1,-4,001---,0,00-,-0.0625,7.1x78p
121,1111001,1000111,-3,1,-5,0001--,1,1--,-0.046875,7.1x79p
122,1111010,1000110,-3,1,-5,0001--,1,0--,-0.03125,7.1x7Ap
123,1111011,1000101,-3,1,-6,0001--,0,1--,-0.0234375,7.1x7Bp
124,1111100,1000100,-3,1,-6,0001--,0,0--,-0.015625,7.1x7Cp
125,1111101,1000011,-4,1,-7,00001-,1,---,-0.0078125,7.1x7Dp
126,1111110,1000010,-4,1,-8,00001-,0,---,-0.00390625,7.1x7Ep
127,1111111,1000001,-5,1,-10,000001,-,---,-0.0009765625,7.1x7Fp

"Generate Posit Lookup table for a POSIT<7,2> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000000,0000000,-6,0,-20,000000,--,--,0,7.2x00p
1,0000001,0000001,-5,0,-20,000001,--,--,9.5367431640625e-07,7.2x01p
2,0000010,0000010,-4,0,-16,00001-,0-,--,1.52587890625e-05,7.2x02p
3,0000011,0000011,-4,0,-14,00001-,1-,--,6.103515625e-05,7.2x03p
4,0000100,0000100,-3,0,-12,0001--,00,--,0.000244140625,7.2x04p
5,0000101,0000101,-3,0,-11,0001--,01,--,0.00048828125,7.2x05p
6,0000110,0000110,-3,0,-10,0001--,10,--,0.0009765625,7.2x06p
7,0000111,0000111,-3,0,-9,0001--,11,--,0.001953125,7.2x07p
8,0001000,0001000,-2,0,-8,001---,00,0-,0.00390625,7.2x08p
9,0001001,0001001,-2,0,-8,001---,00,1-,0.005859375,7.2x09p
10,0001010,0001010,-2,0,-7,001---,01,0-,0.0078125,7.2x0Ap
11,0001011,0001011,-2,0,-7,001---,01,1-,0.01171875,7.2x0Bp
12,0001100,0001100,-2,0,-6,001---,10,0-,0.015625,7.2x0Cp
13,0001101,0001101,-2,0,-6,001---,10,1-,0.0234375,7.2x0Dp
14,0001110,0001110,-2,0,-5,001---,11,0-,0.03125,7.2x0Ep
15,0001111,0001111,-2,0,-5,001---,11,1-,0.046875,7.2x0Fp
16,0010000,0010000,-1,0,-4,01----,00,00,0.0625,7.2x10p
17,0010001,0010001,-1,0,-4,01----,00,01,0.078125,7.2x11p
18,0010010,0010010,-1,0,-4,01----,00,10,0.09375,7.2x12p
19,0010011,0010011,-1,0,-4,01----,00,11,0.109375,7.2x13p
20,0010100,0010100,-1,0,-3,01----,01,00,0.125,7.2x14p
21,0010101,0010101,-1,0,-3,01----,01,01,0.15625,7.2x15p
22,0010110,0010110,-1,0,-3,01----,01,10,0.1875,7.2x16p
23,0010111,0010111,-1,0,-3,01----,01,11,0.21875,7.2x17p
24,0011000,0011000,-1,0,-2,01----,10,00,0.25,7.2x18p
25,0011001,0011001,-1,0,-2,01----,10,01,0.3125,7.2x19p
26,0011010,0011010,-1,0,-2,01----,10,10,0.375,7.2x1Ap
27,0011011,0011011,-1,0,-2,01----,10,11,0.4375,7.2x1Bp
28,0011100,0011100,-1,0,-1,01----,11,00,0.5,7.2x1Cp
29,0011101,0011101,-1,0,-1,01----,11,01,0.625,7.2x1Dp
30,0011110,0011110,-1,0,-1,01----,11,10,0.75,7.2x1Ep
31,0011111,0011111,-1,0,-1,01----,11,11,0.875,7.2x1Fp
32,0100000,0100000,0,0,0,10----,00,00,1,7.2x20p
33,0100001,0100001,0,0,0,10----,00,01,1.25,7.2x21p
34,0100010,0100010,0,0,0,10----,00,10,1.5,7.2x22p
35,0100011,0100011,0,0,0,10----,00,11,1.75,7.2x23p
36,0100100,0100100,0,0,1,10----,01,00,2,7.2x24p
37,0100101,0100101,0,0,1,10----,01,01,2.5,7.2x25p
38,0100110,0100110,0,0,1,10----,01,10,3,7.2x26p
39,0100111,0100111,0,0,1,10----,01,11,3.5,7.2x27p
40,0101000,0101000,0,0,2,10----,10,00,4,7.2x28p
41,0101001,0101001,0,0,2,10----,10,01,5,7.2x29p
42,0101010,0101010,0,0,2,10----,10,10,6,7.2x2Ap
43,0101011,0101011,0,0,2,10----,10,11,7,7.2x2Bp
44,0101100,0101100,0,0,3,10----,11,00,8,7.2x2Cp
45,0101101,0101101,0,0,3,10----,11,01,10,7.2x2Dp
46,0101110,0101110,0,0,3,10----,11,10,12,7.2x2Ep
47,0101111,0101111,0,0,3,10----,11,11,14,7.2x2Fp
48,0110000,0110000,1,0,4,110---,00,0-,16,7.2x30p
49,0110001,0110001,1,0,4,110---,00,1-,24,7.2x31p
50,0110010,0110010,1,0,5,110---,01,0-,32,7.2x32p
51,0110011,0110011,1,0,5,110---,01,1-,48,7.2x33p
52,0110100,0110100,1,0,6,110---,10,0-,64,7.2x34p
53,0110101,0110101,1,0,6,110---,10,1-,96,7.2x35p
54,0110110,0110110,1,0,7,110---,11,0-,128,7.2x36p
55,0110111,0110111,1,0,7,110---,11,1-,192,7.2x37p
56,0111000,0111000,2,0,8,1110--,00,--,256,7.2x38p
57,0111001,0111001,2,0,9,1110--,01,--,512,7.2x39p
58,0111010,0111010,2,0,10,1110--,10,--,1024,7.2x3Ap
59,0111011,0111011,2,0,11,1110--,11,--,2048,7.2x3Bp
60,0111100,0111100,3,0,12,11110-,0-,--,4096,7.2x3Cp
61,0111101,0111101,3,0,14,11110-,1-,--,16384,7.2x3Dp
62,0111110,0111110,4,0,16,111110,--,--,65536,7.2x3Ep
63,0111111,0111111,5,0,20,111111,--,--,1048576,7.2x3Fp
64,1000000,1000000,6,1,-20,000000,--,--,nar,7.2x40p
65,1000001,1111111,5,1,20,111111,--,--,-1048576,7.2x41p
66,1000010,1111110,4,1,16,111110,--,--,-65536,7.2x42p
67,1000011,1111101,3,1,14,11110-,1-,--,-16384,7.2x43p
68,1000100,1111100,3,1,12,11110-,0-,--,-4096,7.2x44p
69,1000101,1111011,2,1,11,1110--,11,--,-2048,7.2x45p
70,1000110,1111010,2,1,10,1110--,10,--,-1024,7.2x46p
71,1000111,1111001,2,1,9,1110--,01,--,-512,7.2x47p
72,1001000,1111000,2,1,8,1110--,00,--,-256,7.2x48p
73,1001001,1110111,1,1,7,110---,11,1-,-192,7.2x49p
74,1001010,1110110,1,1,7,110---,11,0-,-128,7.2x4Ap
75,1001011,1110101,1,1,6,110---,10,1-,-96,7.2x4Bp
76,1001100,1110100,1,1,6,110---,10,0-,-64,7.2x4Cp
77,1001101,1110011,1,1,5,110---,01,1-,-48,7.2x4Dp
78,1001110,1110010,1,1,5,110---,01,0-,-32,7.2x4Ep
79,1001111,1110001,1,1,4,110---,00,1-,-24,7.2x4Fp
80,1010000,1110000,1,1,4,110---,00,0-,-16,7.2x50p
81,1010001,1101111,0,1,3,10----,11,11,-14,7.2x51p
82,1010010,1101110,0,1,3,10----,11,10,-12,7.2x52p
83,1010011,1101101,0,1,3,10----,11,01,-10,7.2x53p
84,1010100,1101100,0,1,3,10----,11,00,-8,7.2x54p
85,1010101,1101011,0,1,2,10----,10,11,-7,7.2x55p
86,1010110,1101010,0,1,2,10----,10,10,-6,7.2x56p
87,1010111,1101001,0,1,2,10----,10,01,-5,7.2x57p
88,1011000,1101000,0,1,2,10----,10,00,-4,7.2x58p
89,1011001,1100111,0,1,1,10----,01,11,-3.5,7.2x59p
90,1011010,1100110,0,1,1,10----,01,10,-3,7.2x5Ap
91,1011011,1100101,0,1,1,10----,01,01,-2.5,7.2x5Bp
92,1011100,1100100,0,1,1,10----,01,00,-2,7.2x5Cp
93,1011101,1100011,0,1,0,10----,00,11,-1.75,7.2x5Dp
94,1011110,1100010,0,1,0,10----,00,10,-1.5,7.2x5Ep
95,1011111,1100001,0,1,0,10----,00,01,-1.25,7.2x5Fp
96,1100000,1100000,0,1,0,10----,00,00,-1,7.2x60p
97,1100001,1011111,-1,1,-1,01----,11,11,-0.875,7.2x61p
98,1100010,1011110,-1,1,-1,01----,11,10,-0.75,7.2x62p
99,1100011,1011101,-1,1,-1,01----,11,01,-0.625,7.2x63p
100,1100100,1011100,-1,1,-1,01----,11,00,-0.5,7.2x64p
101,1100101,1011011,-1,1,-2,01----,10,11,-0.4375,7.2x65p
102,1100110,1011010,-1,1,-2,01----,10,10,-0.375,7.2x66p
103,1100111,1011001,-1,1,-2,01----,10,01,-0.3125,7.2x67p
104,1101000,1011000,-1,1,-2,01----,10,00,-0.25,7.2x68p
105,1101001,1010111,-1,1,-3,01----,01,11,-0.21875,7.2x69p
106,1101010,1010110,-1,1,-3,01----,01,10,-0.1875,7.2x6Ap
107,1101011,1010101,-1,1,-3,01----,01,01,-0.15625,7.2x6Bp
108,1101100,1010100,-1,1,-3,01----,01,00,-0.125,7.2x6Cp
109,1101101,1010011,-1,1,-4,01----,00,11,-0.109375,7.2x6Dp
110,1101110,1010010,-1,1,-4,01----,00,10,-0.09375,7.2x6Ep
111,1101111,1010001,-1,1,-4,01----,00,01,-0.078125,7.2x6Fp
112,1110000,1010000,-1,1,-4,01----,00,00,-0.0625,7.2x70p
113,1110001,1001111,-2,1,-5,001---,11,1-,-0.046875,7.2x71p
114,1110010,1001110,-2,1,-5,001---,11,0-,-0.03125,7.2x72p
115,1110011,1001101,-2,1,-6,001---,10,1-,-0.0234375,7.2x73p
116,1110100,1001100,-2,1,-6,001---,10,0-,-0.015625,7.2x74p
117,1110101,1001011,-2,1,-7,001---,01,1-,-0.01171875,7.2x75p
118,1110110,1001010,-2,1,-7,001---,01,0-,-0.0078125,7.2x76p
119,1110111,1001001,-2,1,-8,001---,00,1-,-0.005859375,7.2x77p
120,1111000,1001000,-2,1,-8,001---,00,0-,-0.00390625,7.2x78p
121,1111001,1000111,-3,1,-9,0001--,11,--,-0.001953125,7.2x79p
122,1111010,1000110,-3,1,-10,0001--,10,--,-0.0009765625,7.2x7Ap
123,1111011,1000101,-3,1,-11,0001--,01,--,-0.00048828125,7.2x7Bp
124,1111100,1000100,-3,1,-12,0001--,00,--,-0.000244140625,7.2x7Cp
125,1111101,1000011,-4,1,-14,00001-,1-,--,-6.103515625e-05,7.2x7Dp
126,1111110,1000010,-4,1,-16,00001-,0-,--,-1.52587890625e-05,7.2x7Ep
127,1111111,1000001,-5,1,-20,000001,--,--,-9.5367431640625e-07,7.2x7Fp

"Generate Posit Lookup table for a POSIT<7,3> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000000,0000000,-6,0,-40,000000,---,-,0,7.3x00p
1,0000001,0000001,-5,0,-40,000001,---,-,9.09494701772928237915e-13,7.3x01p
2,0000010,0000010,-4,0,-32,00001-,0--,-,2.328306436538696289063e-10,7.3x02p
3,0000011,0000011,-4,0,-28,00001-,1--,-,3.7252902984619140625e-09,7.3x03p
4,0000100,0000100,-3,0,-24,0001--,00-,-,5.9604644775390625e-08,7.3x04p
5,0000101,0000101,-3,0,-22,0001--,01-,-,2.384185791015625e-07,7.3x05p
6,0000110,0000110,-3,0,-20,0001--,10-,-,9.5367431640625e-07,7.3x06p
7,0000111,0000111,-3,0,-18,0001--,11-,-,3.814697265625e-06,7.3x07p
8,0001000,0001000,-2,0,-16,001---,000,-,1.52587890625e-05,7.3x08p
9,0001001,0001001,-2,0,-15,001---,001,-,3.0517578125e-05,7.3x09p
10,0001010,0001010,-2,0,-14,001---,010,-,6.103515625e-05,7.3x0Ap
11,0001011,0001011,-2,0,-13,001---,011,-,0.0001220703125,7.3x0Bp
12,0001100,0001100,-2,0,-12,001---,100,-,0.000244140625,7.3x0Cp
13,0001101,0001101,-2,0,-11,001---,101,-,0.00048828125,7.3x0Dp
14,0001110,0001110,-2,0,-10,001---,110,-,0.0009765625,7.3x0Ep
15,0001111,0001111,-2,0,-9,001---,111,-,0.001953125,7.3x0Fp
16,0010000,0010000,-1,0,-8,01----,000,0,0.00390625,7.3x10p
17,0010001,0010001,-1,0,-8,01----,000,1,0.005859375,7.3x11p
18,0010010,0010010,-1,0,-7,01----,001,0,0.0078125,7.3x12p
19,0010011,0010011,-1,0,-7,01----,001,1,0.01171875,7.3x13p
20,0010100,0010100,-1,0,-6,01----,010,0,0.015625,7.3x14p
21,0010101,0010101,-1,0,-6,01----,010,1,0.0234375,7.3x15p
22,0010110,0010110,-1,0,-5,01----,011,0,0.03125,7.3x16p
23,0010111,0010111,-1,0,-5,01----,011,1,0.046875,7.3x17p
24,0011000,0011000,-1,0,-4,01----,100,0,0.0625,7.3x18p
25,0011001,0011001,-1,0,-4,01----,100,1,0.09375,7.3x19p
26,0011010,0011010,-1,0,-3,01----,101,0,0.125,7.3x1Ap
27,0011011,0011011,-1,0,-3,01----,101,1,0.1875,7.3x1Bp
28,0011100,0011100,-1,0,-2,01----,110,0,0.25,7.3x1Cp
29,0011101,0011101,-1,0,-2,01----,110,1,0.375,7.3x1Dp
30,0011110,0011110,-1,0,-1,01----,111,0,0.5,7.3x1Ep
31,0011111,0011111,-1,0,-1,01----,111,1,0.75,7.3x1Fp
32,0100000,0100000,0,0,0,10----,000,0,1,7.3x20p
33,0100001,0100001,0,0,0,10----,000,1,1.5,7.3x21p
34,0100010,0100010,0,0,1,10----,001,0,2,7.3x22p
35,0100011,0100011,0,0,1,10----,001,1,3,7.3x23p
36,0100100,0100100,0,0,2,10----,010,0,4,7.3x24p
37,0100101,0100101,0,0,2,10----,010,1,6,7.3x25p
38,0100110,0100110,0,0,3,10----,011,0,8,7.3x26p
39,0100111,0100111,0,0,3,10----,011,1,12,7.3x27p
40,0101000,0101000,0,0,4,10----,100,0,16,7.3x28p
41,0101001,0101001,0,0,4,10----,100,1,24,7.3x29p
42,0101010,0101010,0,0,5,10----,101,0,32,7.3x2Ap
43,0101011,0101011,0,0,5,10----,101,1,48,7.3x2Bp
44,0101100,0101100,0,0,6,10----,110,0,64,7.3x2Cp
45,0101101,0101101,0,0,6,10----,110,1,96,7.3x2Dp
46,0101110,0101110,0,0,7,10----,111,0,128,7.3x2Ep
47,0101111,0101111,0,0,7,10----,111,1,192,7.3x2Fp
48,0110000,0110000,1,0,8,110---,000,-,256,7.3x30p
49,0110001,0110001,1,0,9,110---,001,-,512,7.3x31p
50,0110010,0110010,1,0,10,110---,010,-,1024,7.3x32p
51,0110011,0110011,1,0,11,110---,011,-,2048,7.3x33p
52,0110100,0110100,1,0,12,110---,100,-,4096,7.3x34p
53,0110101,0110101,1,0,13,110---,101,-,8192,7.3x35p
54,0110110,0110110,1,0,14,110---,110,-,16384,7.3x36p
55,0110111,0110111,1,0,15,110---,111,-,32768,7.3x37p
56,0111000,0111000,2,0,16,1110--,00-,-,65536,7.3x38p
57,0111001,0111001,2,0,18,1110--,01-,-,262144,7.3x39p
58,0111010,0111010,2,0,20,1110--,10-,-,1048576,7.3x3Ap
59,0111011,0111011,2,0,22,1110--,11-,-,4194304,7.3x3Bp
60,0111100,0111100,3,0,24,11110-,0--,-,16777216,7.3x3Cp
61,0111101,0111101,3,0,28,11110-,1--,-,268435456,7.3x3Dp
62,0111110,0111110,4,0,32,111110,---,-,4294967296,7.3x3Ep
63,0111111,0111111,5,0,40,111111,---,-,1099511627776,7.3x3Fp
64,1000000,1000000,6,1,-40,000000,---,-,nar,7.3x40p
65,1000001,1111111,5,1,40,111111,---,-,-1099511627776,7.3x41p
66,1000010,1111110,4,1,32,111110,---,-,-4294967296,7.3x42p
67,1000011,1111101,3,1,28,11110-,1--,-,-268435456,7.3x43p
68,1000100,1111100,3,1,24,11110-,0--,-,-16777216,7.3x44p
69,1000101,1111011,2,1,22,1110--,11-,-,-4194304,7.3x45p
70,1000110,1111010,2,1,20,1110--,10-,-,-1048576,7.3x46p
71,1000111,1111001,2,1,18,1110--,01-,-,-262144,7.3x47p
72,1001000,1111000,2,1,16,1110--,00-,-,-65536,7.3x48p
73,1001001,1110111,1,1,15,110---,111,-,-32768,7.3x49p
74,1001010,1110110,1,1,14,110---,110,-,-16384,7.3x4Ap
75,1001011,1110101,1,1,13,110---,101,-,-8192,7.3x4Bp
76,1001100,1110100,1,1,12,110---,100,-,-4096,7.3x4Cp
77,1001101,1110011,1,1,11,110---,011,-,-2048,7.3x4Dp
78,1001110,1110010,1,1,10,110---,010,-,-1024,7.3x4Ep
79,1001111,1110001,1,1,9,110---,001,-,-512,7.3x4Fp
80,1010000,1110000,1,1,8,110---,000,-,-256,7.3x50p
81,1010001,1101111,0,1,7,10----,111,1,-192,7.3x51p
82,1010010,1101110,0,1,7,10----,111,0,-128,7.3x52p
83,1010011,1101101,0,1,6,10----,110,1,-96,7.3x53p
84,1010100,1101100,0,1,6,10----,110,0,-64,7.3x54p
85,1010101,1101011,0,1,5,10----,101,1,-48,7.3x55p
86,1010110,1101010,0,1,5,10----,101,0,-32,7.3x56p
87,1010111,1101001,0,1,4,10----,100,1,-24,7.3x57p
88,1011000,1101000,0,1,4,10----,100,0,-16,7.3x58p
89,1011001,1100111,0,1,3,10----,011,1,-12,7.3x59p
90,1011010,1100110,0,1,3,10----,011,0,-8,7.3x5Ap
91,1011011,1100101,0,1,2,10----,010,1,-6,7.3x5Bp
92,1011100,1100100,0,1,2,10----,010,0,-4,7.3x5Cp
93,1011101,1100011,0,1,1,10----,001,1,-3,7.3x5Dp
94,1011110,1100010,0,1,1,10----,001,0,-2,7.3x5Ep
95,1011111,1100001,0,1,0,10----,000,1,-1.5,7.3x5Fp
96,1100000,1100000,0,1,0,10----,000,0,-1,7.3x60p
97,1100001,1011111,-1,1,-1,01----,111,1,-0.75,7.3x61p
98,1100010,1011110,-1,1,-1,01----,111,0,-0.5,7.3x62p
99,1100011,1011101,-1,1,-2,01----,110,1,-0.375,7.3x63p
100,1100100,1011100,-1,1,-2,01----,110,0,-0.25,7.3x64p
101,1100101,1011011,-1,1,-3,01----,101,1,-0.1875,7.3x65p
102,1100110,1011010,-1,1,-3,01----,101,0,-0.125,7.3x66p
103,1100111,1011001,-1,1,-4,01----,100,1,-0.09375,7.3x67p
104,1101000,1011000,-1,1,-4,01----,100,0,-0.0625,7.3x68p
105,1101001,1010111,-1,1,-5,01----,011,1,-0.046875,7.3x69p
106,1101010,1010110,-1,1,-5,01----,011,0,-0.03125,7.3x6Ap
107,1101011,1010101,-1,1,-6,01----,010,1,-0.0234375,7.3x6Bp
108,1101100,1010100,-1,1,-6,01----,010,0,-0.015625,7.3x6Cp
109,1101101,1010011,-1,1,-7,01----,001,1,-0.01171875,7.3x6Dp
110,1101110,1010010,-1,1,-7,01----,001,0,-0.0078125,7.3x6Ep
111,1101111,1010001,-1,1,-8,01----,000,1,-0.005859375,7.3x6Fp
112,1110000,1010000,-1,1,-8,01----,000,0,-0.00390625,7.3x70p
113,1110001,1001111,-2,1,-9,001---,111,-,-0.001953125,7.3x71p
114,1110010,1001110,-2,1,-10,001---,110,-,-0.0009765625,7.3x72p
115,1110011,1001101,-2,1,-11,001---,101,-,-0.00048828125,7.3x73p
116,1110100,1001100,-2,1,-12,001---,100,-,-0.000244140625,7.3x74p
117,1110101,1001011,-2,1,-13,001---,011,-,-0.0001220703125,7.3x75p
118,1110110,1001010,-2,1,-14,001---,010,-,-6.103515625e-05,7.3x76p
119,1110111,1001001,-2,1,-15,001---,001,-,-3.0517578125e-05,7.3x77p
120,1111000,1001000,-2,1,-16,001---,000,-,-1.52587890625e-05,7.3x78p
121,1111001,1000111,-3,1,-18,0001--,11-,-,-3.814697265625e-06,7.3x79p
122,1111010,1000110,-3,1,-20,0001--,10-,-,-9.5367431640625e-07,7.3x7Ap
123,1111011,1000101,-3,1,-22,0001--,01-,-,-2.384185791015625e-07,7.3x7Bp
124,1111100,1000100,-3,1,-24,0001--,00-,-,-5.9604644775390625e-08,7.3x7Cp
125,1111101,1000011,-4,1,-28,00001-,1--,-,-3.7252902984619140625e-09,7.3x7Dp
126,1111110,1000010,-4,1,-32,00001-,0--,-,-2.328306436538696289063e-10,7.3x7Ep
127,1111111,1000001,-5,1,-40,000001,---,-,-9.09494701772928237915e-13,7.3x7Fp

"Generate Posit Lookup table for a POSIT<7,4> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,0000000,0000000,-6,0,-80,000000,----,~,0,7.4x00p
1,0000001,0000001,-5,0,-80,000001,----,~,8.271806125530276748714e-25,7.4x01p
2,0000010,0000010,-4,0,-64,00001-,0---,~,5.421010862427522170037e-20,7.4x02p
3,0000011,0000011,-4,0,-56,00001-,1---,~,1.38777878078144567553e-17,7.4x03p
4,0000100,0000100,-3,0,-48,0001--,00--,~,3.552713678800500929356e-15,7.4x04p
5,0000101,0000101,-3,0,-44,0001--,01--,~,5.684341886080801486969e-14,7.4x05p
6,0000110,0000110,-3,0,-40,0001--,10--,~,9.09494701772928237915e-13,7.4x06p
7,0000111,0000111,-3,0,-36,0001--,11--,~,1.455191522836685180664e-11,7.4x07p
8,0001000,0001000,-2,0,-32,001---,000-,~,2.328306436538696289063e-10,7.4x08p
9,0001001,0001001,-2,0,-30,001---,001-,~,9.31322574615478515625e-10,7.4x09p
10,0001010,0001010,-2,0,-28,001---,010-,~,3.7252902984619140625e-09,7.4x0Ap
11,0001011,0001011,-2,0,-26,001---,011-,~,1.490116119384765625e-08,7.4x0Bp
12,0001100,0001100,-2,0,-24,001---,100-,~,5.9604644775390625e-08,7.4x0Cp
13,0001101,0001101,-2,0,-22,001---,101-,~,2.384185791015625e-07,7.4x0Dp
14,0001110,0001110,-2,0,-20,001---,110-,~,9.5367431640625e-07,7.4x0Ep
15,0001111,0001111,-2,0,-18,001---,111-,~,3.814697265625e-06,7.4x0Fp
16,0010000,0010000,-1,0,-16,01----,0000,~,1.52587890625e-05,7.4x10p
17,0010001,0010001,-1,0,-15,01----,0001,~,3.0517578125e-05,7.4x11p
18,0010010,0010010,-1,0,-14,01----,0010,~,6.103515625e-05,7.4x12p
19,0010011,0010011,-1,0,-13,01----,0011,~,0.0001220703125,7.4x13p
20,0010100,0010100,-1,0,-12,01----,0100,~,0.000244140625,7.4x14p
21,0010101,0010101,-1,0,-11,01----,0101,~,0.00048828125,7.4x15p
22,0010110,0010110,-1,0,-10,01----,0110,~,0.0009765625,7.4x16p
23,0010111,0010111,-1,0,-9,01----,0111,~,0.001953125,7.4x17p
24,0011000,0011000,-1,0,-8,01----,1000,~,0.00390625,7.4x18p
25,0011001,0011001,-1,0,-7,01----,1001,~,0.0078125,7.4x19p
26,0011010,0011010,-1,0,-6,01----,1010,~,0.015625,7.4x1Ap
27,0011011,0011011,-1,0,-5,01----,1011,~,0.03125,7.4x1Bp
28,0011100,0011100,-1,0,-4,01----,1100,~,0.0625,7.4x1Cp
29,0011101,0011101,-1,0,-3,01----,1101,~,0.125,7.4x1Dp
30,0011110,0011110,-1,0,-2,01----,1110,~,0.25,7.4x1Ep
31,0011111,0011111,-1,0,-1,01----,1111,~,0.5,7.4x1Fp
32,0100000,0100000,0,0,0,10----,0000,~,1,7.4x20p
33,0100001,0100001,0,0,1,10----,0001,~,2,7.4x21p
34,0100010,0100010,0,0,2,10----,0010,~,4,7.4x22p
35,0100011,0100011,0,0,3,10----,0011,~,8,7.4x23p
36,0100100,0100100,0,0,4,10----,0100,~,16,7.4x24p
37,0100101,0100101,0,0,5,10----,0101,~,32,7.4x25p
38,0100110,0100110,0,0,6,10----,0110,~,64,7.4x26p
39,0100111,0100111,0,0,7,10----,0111,~,128,7.4x27p
40,0101000,0101000,0,0,8,10----,1000,~,256,7.4x28p
41,0101001,0101001,0,0,9,10----,1001,~,512,7.4x29p
42,0101010,0101010,0,0,10,10----,1010,~,1024,7.4x2Ap
43,0101011,0101011,0,0,11,10----,1011,~,2048,7.4x2Bp
44,0101100,0101100,0,0,12,10----,1100,~,4096,7.4x2Cp
45,0101101,0101101,0,0,13,10----,1101,~,8192,7.4x2Dp
46,0101110,0101110,0,0,14,10----,1110,~,16384,7.4x2Ep
47,0101111,0101111,0,0,15,10----,1111,~,32768,7.4x2Fp
48,0110000,0110000,1,0,16,110---,000-,~,65536,7.4x30p
49,0110001,0110001,1,0,18,110---,001-,~,262144,7.4x31p
50,0110010,0110010,1,0,20,110---,010-,~,1048576,7.4x32p
51,0110011,0110011,1,0,22,110---,011-,~,4194304,7.4x33p
52,0110100,0110100,1,0,24,110---,100-,~,16777216,7.4x34p
53,0110101,0110101,1,0,26,110---,101-,~,67108864,7.4x35p
54,0110110,0110110,1,0,28,110---,110-,~,268435456,7.4x36p
55,0110111,0110111,1,0,30,110---,111-,~,1073741824,7.4x37p
56,0111000,0111000,2,0,32,1110--,00--,~,4294967296,7.4x38p
57,0111001,0111001,2,0,36,1110--,01--,~,68719476736,7.4x39p
58,0111010,0111010,2,0,40,1110--,10--,~,1099511627776,7.4x3Ap
59,0111011,0111011,2,0,44,1110--,11--,~,17592186044416,7.4x3Bp
